harvest_id,batch_id,harvest_date,grade_a,grade_b,rejected
1,101,2023-11-24,3304,761,812
2,102,2023-11-27,4323,858,816
3,103,2023-12-18,5045,739,461
4,104,2023-11-07,3989,1180,587
5,105,2023-12-07,3794,693,376
6,106,2023-11-07,3494,1091,686
7,107,2023-12-19,4624,1181,326
8,108,2023-12-22,4408,885,773
9,109,2023-12-20,4012,1084,370
10,110,2023-11-11,3608,720,382
11,111,2023-11-04,2370,1188,664
12,112,2023-12-23,3716,1076,738
13,113,2023-12-02,4221,793,683
14,114,2023-11-29,4005,1014,758
15,115,2023-12-07,5109,691,376
16,116,2023-11-10,3958,818,377
17,117,2023-11-05,3432,1003,562
18,118,2023-11-30,3179,1136,822
19,119,2023-12-12,2428,1131,642
20,120,2023-11-19,4389,1097,552
21,121,2023-12-24,3859,688,616
22,122,2023-11-25,4289,807,896
23,123,2023-11-21,3802,1146,402
24,124,2023-11-14,4301,964,523
25,125,2023-11-02,4974,835,215
26,126,2023-12-12,2931,813,841
27,127,2023-11-29,2966,608,854
28,128,2023-12-18,3574,1177,546
29,129,2023-12-13,2809,976,438
30,130,2023-11-04,3216,684,359
31,131,2023-12-25,4143,690,239
32,132,2023-11-25,4089,902,771
33,133,2023-11-22,3701,1013,729
34,134,2023-11-07,3780,903,767
35,135,2023-11-14,3386,866,785
36,136,2023-11-12,3298,732,845
37,137,2023-11-10,4152,874,248
38,138,2023-12-19,4340,789,227
39,139,2023-12-15,3036,1177,515
40,140,2023-11-27,4713,894,502
41,141,2023-12-29,5039,761,267
42,142,2023-11-15,3611,1098,578
43,143,2023-11-02,4838,843,488
44,144,2023-11-26,2837,1008,519
45,145,2023-11-15,3406,718,705
46,146,2023-11-01,3281,1165,548
47,147,2023-12-08,4181,665,889
48,148,2023-11-25,2824,1186,801
49,149,2023-11-01,3802,860,658
50,150,2023-12-28,4340,715,705
